Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
Wildcard,Last 12 Months,https://www.hltv.org/stats/teams/12257/wildcard?startDate=all&csVersion=CS2,194,113,0,81,13825,12978,4006,1.07
paiN,Last Month,https://www.hltv.org/stats/teams/4773/pain?startDate=all&csVersion=CS2,19,10,0,9,1241,1250,382,0.99
paiN,Last 3 Months,https://www.hltv.org/stats/teams/4773/pain?startDate=all&csVersion=CS2,55,32,0,23,3896,3642,1146,1.07
paiN,Last 6 Months,https://www.hltv.org/stats/teams/4773/pain?startDate=all&csVersion=CS2,85,44,0,41,6058,5950,1833,1.02
paiN,Last 12 Months,https://www.hltv.org/stats/teams/4773/pain?startDate=all&csVersion=CS2,176,88,0,88,12547,12526,3823,1.00
Legacy,Last Month,https://www.hltv.org/stats/teams/12468/legacy?startDate=all&csVersion=CS2,26,19,0,7,1990,1725,560,1.15
Legacy,Last 3 Months,https://www.hltv.org/stats/teams/12468/legacy?startDate=all&csVersion=CS2,83,53,0,30,6068,5348,1744,1.13
Legacy,Last 6 Months,https://www.hltv.org/stats/teams/12468/legacy?startDate=all&csVersion=CS2,104,65,0,39,7642,6906,2221,1.11
Legacy,Last 12 Months,https://www.hltv.org/stats/teams/12468/legacy?startDate=all&csVersion=CS2,225,133,0,92,16440,15173,4824,1.08
Lynn Vision,Last Month,https://www.hltv.org/stats/teams/8840/lynn-vision?startDate=all&csVersion=CS2,27,15,0,12,1987,1877,582,1.06
Lynn Vision,Last 3 Months,https://www.hltv.org/stats/teams/8840/lynn-vision?startDate=all&csVersion=CS2,50,36,0,14,3821,3317,1076,1.15
Lynn Vision,Last 6 Months,https://www.hltv.org/stats/teams/8840/lynn-vision?startDate=all&csVersion=CS2,75,50,0,25,5850,5135,1646,1.14
Lynn Vision,Last 12 Months,https://www.hltv.org/stats/teams/8840/lynn-vision?startDate=all&csVersion=CS2,158,92,0,66,11590,10870,3384,1.07
MOUZ,Last Month,https://www.hltv.org/stats/teams/4494/mouz?startDate=all&csVersion=CS2,33,22,0,11,2415,2154,698,1.12
MOUZ,Last 3 Months,https://www.hltv.org/stats/teams/4494/mouz?startDate=all&csVersion=CS2,58,34,0,24,4085,3772,1212,1.08
MOUZ,Last 6 Months,https://www.hltv.org/stats/teams/4494/mouz?startDate=all&csVersion=CS2,93,54,0,39,6622,6177,1967,1.07
MOUZ,Last 12 Months,https://www.hltv.org/stats/teams/4494/mouz?startDate=all&csVersion=CS2,187,109,0,78,13677,12883,4066,1.06
BIG,Last Month,https://www.hltv.org/stats/teams/7532/big?startDate=all&csVersion=CS2,8,4,0,4,641,588,185,1.09
BIG,Last 3 Months,https://www.hltv.org/stats/teams/7532/big?startDate=all&csVersion=CS2,75,47,0,28,5435,4934,1580,1.10
