Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
Falcons,Last 6 Months,https://www.hltv.org/stats/teams/11283/falcons?startDate=all&csVersion=CS2,95,57,0,38,7143,6839,2132,1.04
Falcons,Last 12 Months,https://www.hltv.org/stats/teams/11283/falcons?startDate=all&csVersion=CS2,169,104,0,65,12729,11981,3753,1.06
Aurora Young Blud,Last Month,https://www.hltv.org/stats/teams/12366/aurora-young-blud?startDate=all&csVersion=CS2,11,3,0,8,717,867,238,0.83
Aurora Young Blud,Last 3 Months,https://www.hltv.org/stats/teams/12366/aurora-young-blud?startDate=all&csVersion=CS2,28,10,0,18,2021,2198,632,0.92
Aurora Young Blud,Last 6 Months,https://www.hltv.org/stats/teams/12366/aurora-young-blud?startDate=all&csVersion=CS2,52,25,0,27,3849,3891,1155,0.99
Aurora Young Blud,Last 12 Months,https://www.hltv.org/stats/teams/12366/aurora-young-blud?startDate=all&csVersion=CS2,70,32,0,38,5155,5287,1548,0.98
GUN5,Last Month,https://www.hltv.org/stats/teams/12471/gun5?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
GUN5,Last 3 Months,https://www.hltv.org/stats/teams/12471/gun5?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
GUN5,Last 6 Months,https://www.hltv.org/stats/teams/12471/gun5?startDate=all&csVersion=CS2,12,4,0,8,834,919,257,0.91
GUN5,Last 12 Months,https://www.hltv.org/stats/teams/12471/gun5?startDate=all&csVersion=CS2,204,107,0,97,15470,15185,4556,1.02
JiJieHao,Last Month,https://www.hltv.org/stats/teams/10245/jijiehao?startDate=all&csVersion=CS2,20,13,0,7,1662,1473,461,1.13
JiJieHao,Last 3 Months,https://www.hltv.org/stats/teams/10245/jijiehao?startDate=all&csVersion=CS2,41,26,0,15,3151,2762,877,1.14
JiJieHao,Last 6 Months,https://www.hltv.org/stats/teams/10245/jijiehao?startDate=all&csVersion=CS2,79,48,0,31,6108,5426,1710,1.13
JiJieHao,Last 12 Months,https://www.hltv.org/stats/teams/10245/jijiehao?startDate=all&csVersion=CS2,232,115,0,117,17041,16462,5040,1.04
fnatic,Last Month,https://www.hltv.org/stats/teams/4991/fnatic?startDate=all&csVersion=CS2,35,22,0,13,2716,2522,790,1.08
fnatic,Last 3 Months,https://www.hltv.org/stats/teams/4991/fnatic?startDate=all&csVersion=CS2,73,42,0,31,5460,5159,1596,1.06
fnatic,Last 6 Months,https://www.hltv.org/stats/teams/4991/fnatic?startDate=all&csVersion=CS2,130,70,0,60,9696,9460,2875,1.02
fnatic,Last 12 Months,https://www.hltv.org/stats/teams/4991/fnatic?startDate=all&csVersion=CS2,282,159,0,123,21056,20480,6234,1.03
BESTIA,Last Month,https://www.hltv.org/stats/teams/12144/bestia?startDate=all&csVersion=CS2,13,8,0,5,900,714,241,1.26
BESTIA,Last 3 Months,https://www.hltv.org/stats/teams/12144/bestia?startDate=all&csVersion=CS2,59,36,0,23,4369,3975,1247,1.10
BESTIA,Last 6 Months,https://www.hltv.org/stats/teams/12144/bestia?startDate=all&csVersion=CS2,109,65,0,44,8042,7656,2327,1.05
BESTIA,Last 12 Months,https://www.hltv.org/stats/teams/12144/bestia?startDate=all&csVersion=CS2,243,144,0,99,18353,17898,5334,1.03
RED Canids,Last Month,https://www.hltv.org/stats/teams/7176/red-canids?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
RED Canids,Last 3 Months,https://www.hltv.org/stats/teams/7176/red-canids?startDate=all&csVersion=CS2,27,13,0,14,1898,1827,563,1.04
RED Canids,Last 6 Months,https://www.hltv.org/stats/teams/7176/red-canids?startDate=all&csVersion=CS2,102,62,0,40,7588,6992,2199,1.09
RED Canids,Last 12 Months,https://www.hltv.org/stats/teams/7176/red-canids?startDate=all&csVersion=CS2,244,142,0,102,18085,17113,5327,1.06
SINNERS,Last Month,https://www.hltv.org/stats/teams/10577/sinners?startDate=all&csVersion=CS2,12,3,0,9,871,930,277,0.94
SINNERS,Last 3 Months,https://www.hltv.org/stats/teams/10577/sinners?startDate=all&csVersion=CS2,47,24,0,23,3688,3498,1102,1.05
SINNERS,Last 6 Months,https://www.hltv.org/stats/teams/10577/sinners?startDate=all&csVersion=CS2,110,62,0,48,8454,7898,2494,1.07
SINNERS,Last 12 Months,https://www.hltv.org/stats/teams/10577/sinners?startDate=all&csVersion=CS2,291,172,0,119,22089,20617,6460,1.07
FURIA,Last Month,https://www.hltv.org/stats/teams/8297/furia?startDate=all&csVersion=CS2,13,8,0,5,1101,950,308,1.16
FURIA,Last 3 Months,https://www.hltv.org/stats/teams/8297/furia?startDate=all&csVersion=CS2,53,27,0,26,3846,3641,1146,1.06
FURIA,Last 6 Months,https://www.hltv.org/stats/teams/8297/furia?startDate=all&csVersion=CS2,100,53,0,47,7227,7018,2188,1.03
FURIA,Last 12 Months,https://www.hltv.org/stats/teams/8297/furia?startDate=all&csVersion=CS2,233,145,0,88,17263,16034,5097,1.08
Nuclear TigeRES,Last Month,https://www.hltv.org/stats/teams/13027/nuclear-tigeres?startDate=all&csVersion=CS2,35,24,0,11,2566,2364,743,1.09
Nuclear TigeRES,Last 3 Months,https://www.hltv.org/stats/teams/13027/nuclear-tigeres?startDate=all&csVersion=CS2,76,46,0,30,5860,5596,1715,1.05
Nuclear TigeRES,Last 6 Months,https://www.hltv.org/stats/teams/13027/nuclear-tigeres?startDate=all&csVersion=CS2,179,105,0,74,13423,12903,3918,1.04
Nuclear TigeRES,Last 12 Months,https://www.hltv.org/stats/teams/13027/nuclear-tigeres?startDate=all&csVersion=CS2,330,203,0,127,24683,23894,7187,1.03
ODDIK,Last Month,https://www.hltv.org/stats/teams/11768/oddik?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ODDIK,Last 3 Months,https://www.hltv.org/stats/teams/11768/oddik?startDate=all&csVersion=CS2,46,28,0,18,3189,3066,943,1.04
ODDIK,Last 6 Months,https://www.hltv.org/stats/teams/11768/oddik?startDate=all&csVersion=CS2,101,57,0,44,7262,6940,2140,1.05
ODDIK,Last 12 Months,https://www.hltv.org/stats/teams/11768/oddik?startDate=all&csVersion=CS2,243,136,0,107,17786,16865,5226,1.05
ECLOT,Last Month,https://www.hltv.org/stats/teams/7441/eclot?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ECLOT,Last 3 Months,https://www.hltv.org/stats/teams/7441/eclot?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ECLOT,Last 6 Months,https://www.hltv.org/stats/teams/7441/eclot?startDate=all&csVersion=CS2,8,2,0,6,533,620,177,0.86
ECLOT,Last 12 Months,https://www.hltv.org/stats/teams/7441/eclot?startDate=all&csVersion=CS2,166,84,0,82,12551,12125,3713,1.04
Zero Tenacity,Last Month,https://www.hltv.org/stats/teams/11523/zero-tenacity?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Zero Tenacity,Last 3 Months,https://www.hltv.org/stats/teams/11523/zero-tenacity?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Zero Tenacity,Last 6 Months,https://www.hltv.org/stats/teams/11523/zero-tenacity?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Zero Tenacity,Last 12 Months,https://www.hltv.org/stats/teams/11523/zero-tenacity?startDate=all&csVersion=CS2,154,78,0,76,11174,11249,3354,0.99
BC.Game,Last Month,https://www.hltv.org/stats/teams/12878/bcgame?startDate=all&csVersion=CS2,7,0,0,7,401,509,144,0.79
BC.Game,Last 3 Months,https://www.hltv.org/stats/teams/12878/bcgame?startDate=all&csVersion=CS2,20,3,0,17,1266,1447,421,0.87
BC.Game,Last 6 Months,https://www.hltv.org/stats/teams/12878/bcgame?startDate=all&csVersion=CS2,51,16,0,35,3365,3626,1061,0.93
BC.Game,Last 12 Months,https://www.hltv.org/stats/teams/12878/bcgame?startDate=all&csVersion=CS2,149,69,0,80,10414,10565,3173,0.99
Nemiga,Last Month,https://www.hltv.org/stats/teams/7969/nemiga?startDate=all&csVersion=CS2,41,26,0,15,3045,2895,882,1.05
Nemiga,Last 3 Months,https://www.hltv.org/stats/teams/7969/nemiga?startDate=all&csVersion=CS2,118,78,0,40,8723,8151,2479,1.07
Nemiga,Last 6 Months,https://www.hltv.org/stats/teams/7969/nemiga?startDate=all&csVersion=CS2,194,120,0,74,14418,13702,4156,1.05
Nemiga,Last 12 Months,https://www.hltv.org/stats/teams/7969/nemiga?startDate=all&csVersion=CS2,339,193,0,146,25107,24219,7331,1.04
Endpoint,Last Month,https://www.hltv.org/stats/teams/7234/endpoint?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Endpoint,Last 3 Months,https://www.hltv.org/stats/teams/7234/endpoint?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Endpoint,Last 6 Months,https://www.hltv.org/stats/teams/7234/endpoint?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Endpoint,Last 12 Months,https://www.hltv.org/stats/teams/7234/endpoint?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Sangal,Last Month,https://www.hltv.org/stats/teams/10333/sangal?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Sangal,Last 3 Months,https://www.hltv.org/stats/teams/10333/sangal?startDate=all&csVersion=CS2,39,22,0,17,2838,2782,829,1.02
Sangal,Last 6 Months,https://www.hltv.org/stats/teams/10333/sangal?startDate=all&csVersion=CS2,90,45,0,45,6366,6258,1884,1.02
Sangal,Last 12 Months,https://www.hltv.org/stats/teams/10333/sangal?startDate=all&csVersion=CS2,276,145,0,131,20314,19805,5974,1.03
Metizport,Last Month,https://www.hltv.org/stats/teams/11641/metizport?startDate=all&csVersion=CS2,3,0,0,3,148,228,58,0.65
Metizport,Last 3 Months,https://www.hltv.org/stats/teams/11641/metizport?startDate=all&csVersion=CS2,55,28,0,27,3925,3948,1192,0.99
Metizport,Last 6 Months,https://www.hltv.org/stats/teams/11641/metizport?startDate=all&csVersion=CS2,108,56,0,52,7720,7848,2365,0.98
Metizport,Last 12 Months,https://www.hltv.org/stats/teams/11641/metizport?startDate=all&csVersion=CS2,201,96,0,105,14223,14542,4357,0.98
Chinggis Warriors,Last Month,https://www.hltv.org/stats/teams/12646/chinggis-warriors?startDate=all&csVersion=CS2,9,4,0,5,691,729,210,0.95
Chinggis Warriors,Last 3 Months,https://www.hltv.org/stats/teams/12646/chinggis-warriors?startDate=all&csVersion=CS2,81,43,0,38,5968,6091,1776,0.98
Chinggis Warriors,Last 6 Months,https://www.hltv.org/stats/teams/12646/chinggis-warriors?startDate=all&csVersion=CS2,115,61,0,54,8503,8564,2506,0.99
Chinggis Warriors,Last 12 Months,https://www.hltv.org/stats/teams/12646/chinggis-warriors?startDate=all&csVersion=CS2,200,110,0,90,14741,14470,4286,1.02
1win,Last Month,https://www.hltv.org/stats/teams/10621/1win?startDate=all&csVersion=CS2,24,14,0,10,1663,1556,483,1.07
1win,Last 3 Months,https://www.hltv.org/stats/teams/10621/1win?startDate=all&csVersion=CS2,65,38,0,27,4713,4415,1393,1.07
1win,Last 6 Months,https://www.hltv.org/stats/teams/10621/1win?startDate=all&csVersion=CS2,126,75,0,51,9157,8607,2712,1.06
1win,Last 12 Months,https://www.hltv.org/stats/teams/10621/1win?startDate=all&csVersion=CS2,298,180,0,118,21859,20404,6432,1.07
Betera,Last Month,https://www.hltv.org/stats/teams/12431/betera?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Betera,Last 3 Months,https://www.hltv.org/stats/teams/12431/betera?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Betera,Last 6 Months,https://www.hltv.org/stats/teams/12431/betera?startDate=all&csVersion=CS2,9,7,0,2,679,680,210,1.00
Betera,Last 12 Months,https://www.hltv.org/stats/teams/12431/betera?startDate=all&csVersion=CS2,230,128,0,102,17657,17022,5142,1.04
ENCE,Last Month,https://www.hltv.org/stats/teams/4869/ence?startDate=all&csVersion=CS2,23,13,0,10,1591,1569,491,1.01
ENCE,Last 3 Months,https://www.hltv.org/stats/teams/4869/ence?startDate=all&csVersion=CS2,35,23,0,12,2438,2268,725,1.07
ENCE,Last 6 Months,https://www.hltv.org/stats/teams/4869/ence?startDate=all&csVersion=CS2,84,45,0,39,5989,5780,1773,1.04
ENCE,Last 12 Months,https://www.hltv.org/stats/teams/4869/ence?startDate=all&csVersion=CS2,226,123,0,103,16282,15840,4817,1.03
AMKAL,Last Month,https://www.hltv.org/stats/teams/12586/amkal?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
AMKAL,Last 3 Months,https://www.hltv.org/stats/teams/12586/amkal?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
AMKAL,Last 6 Months,https://www.hltv.org/stats/teams/12586/amkal?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
AMKAL,Last 12 Months,https://www.hltv.org/stats/teams/12586/amkal?startDate=all&csVersion=CS2,148,74,0,74,10921,10765,3294,1.01
LAG,Last Month,https://www.hltv.org/stats/teams/11955/lag?startDate=all&csVersion=CS2,11,7,0,4,849,725,229,1.17
LAG,Last 3 Months,https://www.hltv.org/stats/teams/11955/lag?startDate=all&csVersion=CS2,85,53,0,32,6450,5864,1813,1.10
LAG,Last 6 Months,https://www.hltv.org/stats/teams/11955/lag?startDate=all&csVersion=CS2,145,95,0,50,10947,9718,3052,1.13
LAG,Last 12 Months,https://www.hltv.org/stats/teams/11955/lag?startDate=all&csVersion=CS2,265,164,0,101,19925,18266,5624,1.09
Eternal Fire,Last Month,https://www.hltv.org/stats/teams/11251/eternal-fire?startDate=all&csVersion=CS2,26,16,0,10,2178,2144,636,1.02
Eternal Fire,Last 3 Months,https://www.hltv.org/stats/teams/11251/eternal-fire?startDate=all&csVersion=CS2,80,46,0,34,6097,5959,1789,1.02
Eternal Fire,Last 6 Months,https://www.hltv.org/stats/teams/11251/eternal-fire?startDate=all&csVersion=CS2,155,82,0,73,11639,11372,3394,1.02
Eternal Fire,Last 12 Months,https://www.hltv.org/stats/teams/11251/eternal-fire?startDate=all&csVersion=CS2,383,192,0,191,28336,28059,8331,1.01
Gaimin Gladiators,Last Month,https://www.hltv.org/stats/teams/11571/gaimin-gladiators?startDate=all&csVersion=CS2,8,0,0,8,455,600,161,0.76
Gaimin Gladiators,Last 3 Months,https://www.hltv.org/stats/teams/11571/gaimin-gladiators?startDate=all&csVersion=CS2,42,19,0,23,2855,2942,867,0.97
Gaimin Gladiators,Last 6 Months,https://www.hltv.org/stats/teams/11571/gaimin-gladiators?startDate=all&csVersion=CS2,71,31,0,40,4942,5044,1497,0.98
Gaimin Gladiators,Last 12 Months,https://www.hltv.org/stats/teams/11571/gaimin-gladiators?startDate=all&csVersion=CS2,148,73,0,75,10339,10420,3120,0.99
500,Last Month,https://www.hltv.org/stats/teams/12000/500?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
500,Last 3 Months,https://www.hltv.org/stats/teams/12000/500?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
500,Last 6 Months,https://www.hltv.org/stats/teams/12000/500?startDate=all&csVersion=CS2,19,9,0,10,1346,1346,407,1.00
500,Last 12 Months,https://www.hltv.org/stats/teams/12000/500?startDate=all&csVersion=CS2,207,107,0,100,15138,15000,4525,1.01
CPH Wolves,Last Month,https://www.hltv.org/stats/teams/4548/cph-wolves?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
CPH Wolves,Last 3 Months,https://www.hltv.org/stats/teams/4548/cph-wolves?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
CPH Wolves,Last 6 Months,https://www.hltv.org/stats/teams/4548/cph-wolves?startDate=all&csVersion=CS2,7,2,0,5,448,551,148,0.81
CPH Wolves,Last 12 Months,https://www.hltv.org/stats/teams/4548/cph-wolves?startDate=all&csVersion=CS2,215,101,0,114,15651,15974,4656,0.98
3DMAX,Last Month,https://www.hltv.org/stats/teams/4914/3dmax?startDate=all&csVersion=CS2,9,2,0,7,732,801,227,0.91
3DMAX,Last 3 Months,https://www.hltv.org/stats/teams/4914/3dmax?startDate=all&csVersion=CS2,69,33,0,36,4922,4942,1497,1.00
3DMAX,Last 6 Months,https://www.hltv.org/stats/teams/4914/3dmax?startDate=all&csVersion=CS2,105,48,0,57,7297,7412,2240,0.98
3DMAX,Last 12 Months,https://www.hltv.org/stats/teams/4914/3dmax?startDate=all&csVersion=CS2,232,114,0,118,16302,16559,5016,0.98
ShindeN,Last Month,https://www.hltv.org/stats/teams/12959/shinden?startDate=all&csVersion=CS2,4,3,0,1,355,334,101,1.06
ShindeN,Last 3 Months,https://www.hltv.org/stats/teams/12959/shinden?startDate=all&csVersion=CS2,68,47,0,21,4862,4479,1380,1.09
ShindeN,Last 6 Months,https://www.hltv.org/stats/teams/12959/shinden?startDate=all&csVersion=CS2,130,85,0,45,9562,9114,2766,1.05
ShindeN,Last 12 Months,https://www.hltv.org/stats/teams/12959/shinden?startDate=all&csVersion=CS2,266,156,0,110,19543,19071,5721,1.02
FAVBET,Last Month,https://www.hltv.org/stats/teams/12818/favbet?startDate=all&csVersion=CS2,9,6,0,3,635,561,188,1.13
FAVBET,Last 3 Months,https://www.hltv.org/stats/teams/12818/favbet?startDate=all&csVersion=CS2,47,28,0,19,3470,3318,1026,1.05
FAVBET,Last 6 Months,https://www.hltv.org/stats/teams/12818/favbet?startDate=all&csVersion=CS2,125,72,0,53,9019,8526,2678,1.06
FAVBET,Last 12 Months,https://www.hltv.org/stats/teams/12818/favbet?startDate=all&csVersion=CS2,294,161,0,133,21157,20311,6301,1.04
Sashi,Last Month,https://www.hltv.org/stats/teams/11712/sashi?startDate=all&csVersion=CS2,16,7,0,9,1106,1123,334,0.98
Sashi,Last 3 Months,https://www.hltv.org/stats/teams/11712/sashi?startDate=all&csVersion=CS2,56,30,0,26,3885,3886,1162,1.00
Sashi,Last 6 Months,https://www.hltv.org/stats/teams/11712/sashi?startDate=all&csVersion=CS2,104,52,0,52,7159,7282,2159,0.98
Sashi,Last 12 Months,https://www.hltv.org/stats/teams/11712/sashi?startDate=all&csVersion=CS2,258,132,0,126,18511,18614,5554,0.99
Insilio,Last Month,https://www.hltv.org/stats/teams/12124/insilio?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Insilio,Last 3 Months,https://www.hltv.org/stats/teams/12124/insilio?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Insilio,Last 6 Months,https://www.hltv.org/stats/teams/12124/insilio?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Insilio,Last 12 Months,https://www.hltv.org/stats/teams/12124/insilio?startDate=all&csVersion=CS2,53,25,0,28,3867,3899,1149,0.99
GamerLegion,Last Month,https://www.hltv.org/stats/teams/9928/gamerlegion?startDate=all&csVersion=CS2,26,15,0,11,1735,1745,536,0.99
GamerLegion,Last 3 Months,https://www.hltv.org/stats/teams/9928/gamerlegion?startDate=all&csVersion=CS2,48,25,0,23,3348,3470,1034,0.96
GamerLegion,Last 6 Months,https://www.hltv.org/stats/teams/9928/gamerlegion?startDate=all&csVersion=CS2,96,56,0,40,7002,6811,2081,1.03
GamerLegion,Last 12 Months,https://www.hltv.org/stats/teams/9928/gamerlegion?startDate=all&csVersion=CS2,183,98,0,85,13097,12986,3934,1.01
Sampi,Last Month,https://www.hltv.org/stats/teams/10695/sampi?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Sampi,Last 3 Months,https://www.hltv.org/stats/teams/10695/sampi?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Sampi,Last 6 Months,https://www.hltv.org/stats/teams/10695/sampi?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Sampi,Last 12 Months,https://www.hltv.org/stats/teams/10695/sampi?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Johnny Speeds,Last Month,https://www.hltv.org/stats/teams/12604/johnny-speeds?startDate=all&csVersion=CS2,27,15,0,12,1880,1765,562,1.07
Johnny Speeds,Last 3 Months,https://www.hltv.org/stats/teams/12604/johnny-speeds?startDate=all&csVersion=CS2,104,58,0,46,7402,6927,2175,1.07
Johnny Speeds,Last 6 Months,https://www.hltv.org/stats/teams/12604/johnny-speeds?startDate=all&csVersion=CS2,188,102,0,86,13430,12664,3980,1.06
Johnny Speeds,Last 12 Months,https://www.hltv.org/stats/teams/12604/johnny-speeds?startDate=all&csVersion=CS2,346,177,0,169,24795,24261,7433,1.02
Leo,Last Month,https://www.hltv.org/stats/teams/11446/leo?startDate=all&csVersion=CS2,25,11,0,14,1717,1745,511,0.98
Leo,Last 3 Months,https://www.hltv.org/stats/teams/11446/leo?startDate=all&csVersion=CS2,80,39,0,41,5686,5466,1669,1.04
Leo,Last 6 Months,https://www.hltv.org/stats/teams/11446/leo?startDate=all&csVersion=CS2,136,64,0,72,9945,9552,2935,1.04
Leo,Last 12 Months,https://www.hltv.org/stats/teams/11446/leo?startDate=all&csVersion=CS2,255,124,0,131,18407,17818,5443,1.03
Betclic,Last Month,https://www.hltv.org/stats/teams/12916/betclic?startDate=all&csVersion=CS2,42,17,0,25,2843,2946,891,0.97
Betclic,Last 3 Months,https://www.hltv.org/stats/teams/12916/betclic?startDate=all&csVersion=CS2,75,35,0,40,5048,5011,1545,1.01
Betclic,Last 6 Months,https://www.hltv.org/stats/teams/12916/betclic?startDate=all&csVersion=CS2,122,60,0,62,8277,8369,2533,0.99
Betclic,Last 12 Months,https://www.hltv.org/stats/teams/12916/betclic?startDate=all&csVersion=CS2,259,124,0,135,18318,18441,5526,0.99
Galorys,Last Month,https://www.hltv.org/stats/teams/12677/galorys?startDate=all&csVersion=CS2,48,27,0,21,3149,3158,964,1.00
Galorys,Last 3 Months,https://www.hltv.org/stats/teams/12677/galorys?startDate=all&csVersion=CS2,91,49,0,42,6200,6204,1904,1.00
Galorys,Last 6 Months,https://www.hltv.org/stats/teams/12677/galorys?startDate=all&csVersion=CS2,137,69,0,68,9365,9618,2912,0.97
Galorys,Last 12 Months,https://www.hltv.org/stats/teams/12677/galorys?startDate=all&csVersion=CS2,233,121,0,112,16320,16507,5026,0.99
Mindfreak,Last Month,https://www.hltv.org/stats/teams/11668/mindfreak?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Mindfreak,Last 3 Months,https://www.hltv.org/stats/teams/11668/mindfreak?startDate=all&csVersion=CS2,34,15,0,19,2666,2648,789,1.01
Mindfreak,Last 6 Months,https://www.hltv.org/stats/teams/11668/mindfreak?startDate=all&csVersion=CS2,90,48,0,42,6734,6439,1938,1.05
Mindfreak,Last 12 Months,https://www.hltv.org/stats/teams/11668/mindfreak?startDate=all&csVersion=CS2,186,99,0,87,13713,13291,3991,1.03
ECSTATIC,Last Month,https://www.hltv.org/stats/teams/11419/ecstatic?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ECSTATIC,Last 3 Months,https://www.hltv.org/stats/teams/11419/ecstatic?startDate=all&csVersion=CS2,35,17,0,18,2467,2396,723,1.03
ECSTATIC,Last 6 Months,https://www.hltv.org/stats/teams/11419/ecstatic?startDate=all&csVersion=CS2,114,62,0,52,8577,8254,2506,1.04
ECSTATIC,Last 12 Months,https://www.hltv.org/stats/teams/11419/ecstatic?startDate=all&csVersion=CS2,246,135,0,111,18321,17846,5393,1.03
Alliance,Last Month,https://www.hltv.org/stats/teams/12474/alliance?startDate=all&csVersion=CS2,21,10,0,11,1577,1579,474,1.00
Alliance,Last 3 Months,https://www.hltv.org/stats/teams/12474/alliance?startDate=all&csVersion=CS2,74,44,0,30,5552,5142,1619,1.08
Alliance,Last 6 Months,https://www.hltv.org/stats/teams/12474/alliance?startDate=all&csVersion=CS2,137,83,0,54,10252,9471,2972,1.08
Alliance,Last 12 Months,https://www.hltv.org/stats/teams/12474/alliance?startDate=all&csVersion=CS2,342,216,0,126,26145,24032,7476,1.09
ALTERNATE aTTaX,Last Month,https://www.hltv.org/stats/teams/4501/alternate-attax?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ALTERNATE aTTaX,Last 3 Months,https://www.hltv.org/stats/teams/4501/alternate-attax?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ALTERNATE aTTaX,Last 6 Months,https://www.hltv.org/stats/teams/4501/alternate-attax?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ALTERNATE aTTaX,Last 12 Months,https://www.hltv.org/stats/teams/4501/alternate-attax?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
RUBY,Last Month,https://www.hltv.org/stats/teams/12694/ruby?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
RUBY,Last 3 Months,https://www.hltv.org/stats/teams/12694/ruby?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
RUBY,Last 6 Months,https://www.hltv.org/stats/teams/12694/ruby?startDate=all&csVersion=CS2,11,5,0,6,758,735,220,1.03
RUBY,Last 12 Months,https://www.hltv.org/stats/teams/12694/ruby?startDate=all&csVersion=CS2,281,147,0,134,21061,20647,6124,1.02
SAW,Last Month,https://www.hltv.org/stats/teams/10567/saw?startDate=all&csVersion=CS2,19,9,0,10,1337,1436,419,0.93
SAW,Last 3 Months,https://www.hltv.org/stats/teams/10567/saw?startDate=all&csVersion=CS2,37,13,0,24,2605,2825,820,0.92
SAW,Last 6 Months,https://www.hltv.org/stats/teams/10567/saw?startDate=all&csVersion=CS2,65,27,0,38,4535,4774,1397,0.95
SAW,Last 12 Months,https://www.hltv.org/stats/teams/10567/saw?startDate=all&csVersion=CS2,158,81,0,77,11450,11349,3412,1.01
FORZE Reload,Last Month,https://www.hltv.org/stats/teams/12857/forze-reload?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
FORZE Reload,Last 3 Months,https://www.hltv.org/stats/teams/12857/forze-reload?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
FORZE Reload,Last 6 Months,https://www.hltv.org/stats/teams/12857/forze-reload?startDate=all&csVersion=CS2,114,52,0,62,8665,9010,2625,0.96
FORZE Reload,Last 12 Months,https://www.hltv.org/stats/teams/12857/forze-reload?startDate=all&csVersion=CS2,363,182,0,181,26924,27626,8056,0.97
MOUZ NXT,Last Month,https://www.hltv.org/stats/teams/11176/mouz-nxt?startDate=all&csVersion=CS2,18,7,0,11,1184,1325,375,0.89
MOUZ NXT,Last 3 Months,https://www.hltv.org/stats/teams/11176/mouz-nxt?startDate=all&csVersion=CS2,79,34,0,45,5720,6035,1732,0.95
MOUZ NXT,Last 6 Months,https://www.hltv.org/stats/teams/11176/mouz-nxt?startDate=all&csVersion=CS2,204,97,0,107,15210,15414,4524,0.99
MOUZ NXT,Last 12 Months,https://www.hltv.org/stats/teams/11176/mouz-nxt?startDate=all&csVersion=CS2,264,128,0,136,19689,19974,5858,0.99
Bounty Hunters,Last Month,https://www.hltv.org/stats/teams/12776/bounty-hunters?startDate=all&csVersion=CS2,39,23,0,16,2672,2468,773,1.08
Bounty Hunters,Last 3 Months,https://www.hltv.org/stats/teams/12776/bounty-hunters?startDate=all&csVersion=CS2,112,66,0,46,7693,7222,2281,1.07
Bounty Hunters,Last 6 Months,https://www.hltv.org/stats/teams/12776/bounty-hunters?startDate=all&csVersion=CS2,160,88,0,72,11001,10561,3292,1.04
Bounty Hunters,Last 12 Months,https://www.hltv.org/stats/teams/12776/bounty-hunters?startDate=all&csVersion=CS2,323,172,0,151,22698,21760,6721,1.04
Fire Flux,Last Month,https://www.hltv.org/stats/teams/12960/fire-flux?startDate=all&csVersion=CS2,12,7,0,5,871,797,251,1.09
Fire Flux,Last 3 Months,https://www.hltv.org/stats/teams/12960/fire-flux?startDate=all&csVersion=CS2,30,16,0,14,2264,2167,662,1.04
