Team,Map,Timeframe,Profile URL,Times played,Wins,Draws,Losses,Total rounds played,Rounds won,Win percent,Pistol rounds,Pistol rounds won,Pistol round win percent,CT round win percent,T round win percent,Pick percent,Ban percent
TYLOO,Anubis,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,3,2,0,1,59,34,66.7%,6,3,50.0%,69.6%,50.0%,0.0%,27.5%
TYLOO,Anubis,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,3,2,0,1,59,34,66.7%,6,3,50.0%,69.6%,50.0%,0.0%,26.8%
TYLOO,Anubis,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,7,4,0,3,141,73,57.1%,14,9,64.3%,57.4%,46.6%,0.0%,27.1%
TYLOO,Inferno,Last Month,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,8,6,0,2,169,93,75.0%,16,7,43.8%,56.3%,54.1%,58.3%,0.0%
TYLOO,Inferno,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,18,14,0,4,384,216,77.8%,36,17,47.2%,57.5%,55.1%,53.3%,4.7%
TYLOO,Inferno,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,19,15,0,4,420,235,78.9%,38,18,47.4%,59.3%,52.8%,48.5%,4.3%
TYLOO,Inferno,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,41,23,0,18,906,472,56.1%,82,40,48.8%,52.2%,52.0%,57.6%,2.5%
TYLOO,Mirage,Last Month,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,5,3,0,2,88,50,60.0%,10,7,70.0%,54.8%,58.7%,28.6%,11.8%
TYLOO,Mirage,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,22,18,0,4,407,258,81.8%,44,27,61.4%,63.6%,63.2%,44.4%,6.1%
TYLOO,Mirage,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,23,19,0,4,427,271,82.6%,46,29,63.0%,63.8%,63.2%,42.9%,5.8%
TYLOO,Mirage,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,33,25,0,8,649,389,75.8%,66,41,62.1%,60.2%,59.6%,33.3%,5.7%
TYLOO,Nuke,Last Month,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,5,3,0,2,109,59,60.0%,10,4,40.0%,61.7%,44.9%,12.5%,17.6%
TYLOO,Nuke,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,13,9,0,4,275,157,69.2%,26,14,53.8%,61.5%,52.3%,13.0%,18.8%
TYLOO,Nuke,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,15,11,0,4,323,186,73.3%,30,15,50.0%,62.2%,52.8%,16.7%,17.6%
TYLOO,Nuke,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,27,15,0,12,578,306,55.6%,54,28,51.9%,56.3%,49.1%,10.0%,20.7%
TYLOO,Overpass,Last Month,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,4,2,0,2,101,48,50.0%,8,3,37.5%,46.8%,48.1%,27.3%,5.0%
TYLOO,Overpass,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,8,5,0,3,186,98,62.5%,16,8,50.0%,53.6%,52.0%,13.8%,2.0%
TYLOO,Overpass,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,10,7,0,3,229,124,70.0%,20,9,45.0%,56.3%,52.4%,19.4%,1.9%
TYLOO,Overpass,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,19,10,0,9,416,210,52.6%,38,19,50.0%,55.1%,46.4%,21.3%,6.0%
TYLOO,Train,Last Month,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
TYLOO,Train,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
TYLOO,Train,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
TYLOO,Train,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,9,4,0,5,236,115,44.4%,18,11,61.1%,58.3%,39.7%,9.1%,8.7%
TYLOO,Vertigo,Last Month,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
