Player,Total Kills,Headshot %,Rounds played,Profile URL
xKacpersky,7407,55.6%,9950,https://www.hltv.org/stats/players/23372/xkacpersky?csVersion=CS2
MarKE,5725,57.6%,7982,https://www.hltv.org/stats/players/10892/marke?csVersion=CS2
z1Nny,9149,57.6%,12709,https://www.hltv.org/stats/players/22040/z1nny?csVersion=CS2
MaiL09,5537,63.1%,7580,https://www.hltv.org/stats/players/24083/mail09?csVersion=CS2
koala,10307,51.6%,14451,https://www.hltv.org/stats/players/21170/koala?csVersion=CS2
Alv,5472,33.9%,7034,https://www.hltv.org/stats/players/23764/alv?csVersion=CS2
mizu,6054,50.2%,8430,https://www.hltv.org/stats/players/21385/mizu?csVersion=CS2
Rainwaker,9294,45.6%,13168,https://www.hltv.org/stats/players/17145/rainwaker?csVersion=CS2
flouzer,5761,51.8%,7864,https://www.hltv.org/stats/players/24568/flouzer?csVersion=CS2
slaxz-,8378,33.3%,11536,https://www.hltv.org/stats/players/15370/slaxz?csVersion=CS2
ANa,3224,27.7%,4358,https://www.hltv.org/stats/players/12758/ana?csVersion=CS2
dav1deuS,9881,54.8%,13335,https://www.hltv.org/stats/players/18865/dav1deus?csVersion=CS2
Zesta,4062,60.7%,5604,https://www.hltv.org/stats/players/23457/zesta?csVersion=CS2
Dawy,7172,51.8%,9596,https://www.hltv.org/stats/players/24282/dawy?csVersion=CS2
Kaide,11851,50.2%,15708,https://www.hltv.org/stats/players/22326/kaide?csVersion=CS2
flameZ,6852,53.3%,9842,https://www.hltv.org/stats/players/16693/flamez?csVersion=CS2
tN1R,11001,57.7%,15234,https://www.hltv.org/stats/players/19808/tn1r?csVersion=CS2
ChildKing,5905,59.4%,7844,https://www.hltv.org/stats/players/19681/childking?csVersion=CS2
malbsMd,8310,65.9%,11278,https://www.hltv.org/stats/players/11617/malbsmd?csVersion=CS2
doc,12432,55.1%,16665,https://www.hltv.org/stats/players/22911/doc?csVersion=CS2
BeaKie,3339,45.9%,4660,https://www.hltv.org/stats/players/20204/beakie?csVersion=CS2
jambo,12455,41.5%,16806,https://www.hltv.org/stats/players/23046/jambo?csVersion=CS2
d1Ledez,11030,61.3%,15415,https://www.hltv.org/stats/players/20357/d1ledez?csVersion=CS2
ewjerkz,7321,53.7%,10575,https://www.hltv.org/stats/players/20464/ewjerkz?csVersion=CS2
PwnAlone,3161,34.5%,4307,https://www.hltv.org/stats/players/15090/pwnalone?csVersion=CS2
Infinite,5039,52.8%,7128,https://www.hltv.org/stats/players/14619/infinite?csVersion=CS2
luchov,10959,63.7%,15061,https://www.hltv.org/stats/players/20394/luchov?csVersion=CS2
ckzao,4932,55.3%,6736,https://www.hltv.org/stats/players/19972/ckzao?csVersion=CS2
Pose1doNN,5074,39.9%,6592,https://www.hltv.org/stats/players/20787/pose1donn?csVersion=CS2
HObbit,6798,50.2%,9408,https://www.hltv.org/stats/players/8528/hobbit?csVersion=CS2
Lucky,12369,47.0%,17168,https://www.hltv.org/stats/players/13843/lucky?csVersion=CS2
MiQ,4377,48.7%,5931,https://www.hltv.org/stats/players/22333/miq?csVersion=CS2
kashl1d,6147,32.6%,8714,https://www.hltv.org/stats/players/23686/kashl1d?csVersion=CS2
Moseyuh,5222,55.9%,7321,https://www.hltv.org/stats/players/21621/moseyuh?csVersion=CS2
EliGE,6801,54.5%,9191,https://www.hltv.org/stats/players/8738/elige?csVersion=CS2
demente,3703,53.1%,5104,https://www.hltv.org/stats/players/23543/demente?csVersion=CS2
JBa,7700,54.7%,10866,https://www.hltv.org/stats/players/21665/jba?csVersion=CS2
INS,5053,49.1%,7193,https://www.hltv.org/stats/players/11140/ins?csVersion=CS2
reiko,10921,47.7%,14305,https://www.hltv.org/stats/players/15203/reiko?csVersion=CS2
aliStair,5234,32.2%,7443,https://www.hltv.org/stats/players/11139/alistair?csVersion=CS2
MartinezSa,8926,36.4%,12124,https://www.hltv.org/stats/players/21239/martinezsa?csVersion=CS2
Sonic,7468,54.8%,10358,https://www.hltv.org/stats/players/8711/sonic?csVersion=CS2
Hanka,3141,47.5%,4343,https://www.hltv.org/stats/players/22063/hanka?csVersion=CS2
ryu,10043,55.1%,14141,https://www.hltv.org/stats/players/21217/ryu?csVersion=CS2
Kvem,8634,57.8%,11544,https://www.hltv.org/stats/players/21452/kvem?csVersion=CS2
oSee,6609,35.8%,9227,https://www.hltv.org/stats/players/13249/osee?csVersion=CS2
nin9,5949,39.0%,8249,https://www.hltv.org/stats/players/15072/nin9?csVersion=CS2
w0nderful,7519,37.5%,10414,https://www.hltv.org/stats/players/20127/w0nderful?csVersion=CS2
gbb,10618,51.2%,14831,https://www.hltv.org/stats/players/20522/gbb?csVersion=CS2
nicoodoz,11310,47.8%,14682,https://www.hltv.org/stats/players/13602/nicoodoz?csVersion=CS2
cool4st,4653,40.6%,6409,https://www.hltv.org/stats/players/19537/cool4st?csVersion=CS2
Krimbo,7113,51.9%,10446,https://www.hltv.org/stats/players/19899/krimbo?csVersion=CS2
St0m4k,3826,51.1%,5441,https://www.hltv.org/stats/players/24281/st0m4k?csVersion=CS2
OneUn1que,7012,51.0%,9715,https://www.hltv.org/stats/players/22649/oneun1que?csVersion=CS2
lattykk,7663,36.6%,10735,https://www.hltv.org/stats/players/20700/lattykk?csVersion=CS2
CLASIA,4551,52.5%,6698,https://www.hltv.org/stats/players/19846/clasia?csVersion=CS2
Spinx,6945,56.3%,9608,https://www.hltv.org/stats/players/18221/spinx?csVersion=CS2
sliimey,4891,52.5%,6840,https://www.hltv.org/stats/players/20881/sliimey?csVersion=CS2
decenty,9543,52.1%,12871,https://www.hltv.org/stats/players/20183/decenty?csVersion=CS2
Fruitcupx,6165,51.2%,8465,https://www.hltv.org/stats/players/19079/fruitcupx?csVersion=CS2
Liazz,4905,48.1%,7373,https://www.hltv.org/stats/players/10588/liazz?csVersion=CS2
adamb,9730,56.7%,13774,https://www.hltv.org/stats/players/20878/adamb?csVersion=CS2
consti,5599,37.1%,7659,https://www.hltv.org/stats/players/19177/consti?csVersion=CS2
z1k4,5864,32.8%,7840,https://www.hltv.org/stats/players/23762/z1k4?csVersion=CS2
JDC,8920,51.4%,12345,https://www.hltv.org/stats/players/14929/jdc?csVersion=CS2
shg,3414,59.8%,4767,https://www.hltv.org/stats/players/21363/shg?csVersion=CS2
Grizz,7502,56.0%,10215,https://www.hltv.org/stats/players/22069/grizz?csVersion=CS2
k0s,3262,49.5%,4469,https://www.hltv.org/stats/players/22430/k0s?csVersion=CS2
Vexite,5120,56.4%,7193,https://www.hltv.org/stats/players/17384/vexite?csVersion=CS2
tAk,3842,51.4%,5299,https://www.hltv.org/stats/players/21272/tak?csVersion=CS2
Porya,3196,52.3%,4414,https://www.hltv.org/stats/players/17293/porya?csVersion=CS2
xeedo,6266,51.9%,8639,https://www.hltv.org/stats/players/22886/xeedo?csVersion=CS2
Caleyy,6921,61.5%,9083,https://www.hltv.org/stats/players/21108/caleyy?csVersion=CS2
REZ,6946,57.2%,9679,https://www.hltv.org/stats/players/9278/rez?csVersion=CS2
Tiger,3894,36.0%,5317,https://www.hltv.org/stats/players/20808/tiger?csVersion=CS2
Swisher,7928,48.1%,11671,https://www.hltv.org/stats/players/16599/swisher?csVersion=CS2
dwushka,6948,63.8%,9871,https://www.hltv.org/stats/players/22535/dwushka?csVersion=CS2
dgt,7415,52.3%,10127,https://www.hltv.org/stats/players/14736/dgt?csVersion=CS2
lauNX,9091,57.2%,12631,https://www.hltv.org/stats/players/20761/launx?csVersion=CS2
FaNg,5818,60.1%,7641,https://www.hltv.org/stats/players/17372/fang?csVersion=CS2
nqz,9013,32.2%,12818,https://www.hltv.org/stats/players/19694/nqz?csVersion=CS2
stressarN,5061,53.2%,6882,https://www.hltv.org/stats/players/23459/stressarn?csVersion=CS2
flayy,9066,36.8%,12283,https://www.hltv.org/stats/players/21715/flayy?csVersion=CS2
Wicadia,8138,54.8%,11007,https://www.hltv.org/stats/players/21243/wicadia?csVersion=CS2
xertioN,7393,51.7%,10410,https://www.hltv.org/stats/players/20312/xertion?csVersion=CS2
nardes,4181,34.0%,5822,https://www.hltv.org/stats/players/24772/nardes?csVersion=CS2
jL,4749,55.9%,6781,https://www.hltv.org/stats/players/19206/jl?csVersion=CS2
venomzera,10262,59.8%,14960,https://www.hltv.org/stats/players/21288/venomzera?csVersion=CS2
