Player,Total Kills,Total Headshots,Kills per Round,Headshots per Round,Rounds played
ropz,8556,4551.792,0.7342315283617953,0.3906111730884751,11653
ct0m,3629,2141.11,0.7318007662835249,0.4317624521072797,4959
smooya,8232,2617.776,0.7845977887914601,0.2495020968356843,10492
Twistzz,7847,4668.965,0.7176696542893726,0.4270134443021767,10934
mhL,4626,1637.604,0.768821671929533,0.2721628718630547,6017
empathy,4605,2113.695,0.7819663779928681,0.3589225674987265,5889
dea,7424,2850.816,0.7537055837563452,0.2894229441624365,9850
dumau,9361,4287.338,0.7473852295409181,0.3423024351297405,12525
Chucky,5610,1941.06,0.7333333333333333,0.2537333333333333,7650
vicu,4299,1362.783,0.7582010582010582,0.24034973544973542,5670
sk0R,5413,2733.565,0.7928812069723158,0.4004050095210195,6827
makazze,8825,4721.375,0.7399178334870462,0.3958560409155697,11927
r3salt,12941,7570.485,0.7329104604406185,0.42875261935776177,17657
phzy,7549,2460.974,0.7433776464795667,0.24234111275233877,10155
tenzy,7401,4662.63,0.7421036799358267,0.46752531835957084,9973
z4KR,5987,2412.761,0.734601226993865,0.2960442944785276,8150
ASTRA,3101,1224.895,0.7247020331853237,0.28625730310820285,4279
b1t,7092,4482.144,0.7218320610687022,0.4561978625954199,9825
MATYS,10037,6453.791,0.7397553066037735,0.47566266214622643,13568
Brehze,3686,2171.054,0.7328031809145129,0.43162107355864815,5030
Senzu,7733,4678.465,0.7396461023433764,0.44748589191774274,10455
shadiy,5251,2614.998,0.7489659107117387,0.3729850235344459,7011
nEMANHA,16304,8967.2,0.7178267952274028,0.3948047373750716,22713
xKacpersky,7407,4118.292,0.7444221105527639,0.4138986934673367,9950
MarKE,5725,3297.6,0.7172387872713606,0.41312954146830366,7982
z1Nny,9149,5269.8240000000005,0.7198835470926115,0.4146529231253443,12709
MaiL09,5537,3493.847,0.7304749340369393,0.4609296833773087,7580
koala,10307,5318.412,0.7132378382118885,0.3680307245173345,14451
Alv,5472,1855.0079999999998,0.7779357406880865,0.2637202160932613,7034
mizu,6054,3039.1079999999997,0.7181494661921708,0.36051103202846974,8430
Rainwaker,9294,4238.064,0.7058019441069259,0.32184568651275824,13168
flouzer,5761,2984.198,0.7325788402848423,0.3794758392675483,7864
slaxz-,8378,2789.874,0.7262482662968099,0.2418406726768377,11536
ANa,3224,893.048,0.7397888939880679,0.20492152363469482,4358
dav1deuS,9881,5414.788,0.7409823772028497,0.40605834270716157,13335
Zesta,4062,2465.634,0.7248394004282656,0.43997751605995716,5604
Dawy,7172,3715.0959999999995,0.7473947478115882,0.3871504793664026,9596
Kaide,11851,5949.202000000001,0.7544563279857398,0.37873707664884143,15708
flameZ,6852,3652.116,0.6961999593578541,0.3710745783377362,9842
tN1R,11001,6347.577000000001,0.7221346987002757,0.4166717211500591,15234
ChildKing,5905,3507.57,0.7528046914839368,0.44716598674145847,7844
malbsMd,8310,5476.29,0.736832771768044,0.48557279659514097,11278
doc,12432,6850.032000000001,0.745994599459946,0.4110430243024303,16665
BeaKie,3339,1532.601,0.7165236051502146,0.3288843347639485,4660
jambo,12455,5168.825,0.741104367487802,0.3075583125074378,16806
d1Ledez,11030,6761.39,0.7155368147907882,0.4386240674667532,15415
ewjerkz,7321,3931.377,0.6922931442080378,0.37176141843971633,10575
PwnAlone,3161,1090.545,0.733921523101927,0.2532029254701649,4307
Infinite,5039,2660.592,0.7069304152637486,0.3732592592592593,7128
luchov,10959,6980.883000000001,0.7276409268972843,0.4635072704335702,15061
ckzao,4932,2727.3959999999997,0.732185273159145,0.4048984560570071,6736
Pose1doNN,5074,2024.526,0.7697208737864077,0.3071186286407767,6592
HObbit,6798,3412.5960000000005,0.7225765306122449,0.36273341836734696,9408
Lucky,12369,5813.43,0.7204683131407269,0.33862010717614166,17168
MiQ,4377,2131.599,0.7379868487607486,0.3593995953464846,5931
kashl1d,6147,2003.922,0.7054165710351159,0.2299658021574478,8714
Moseyuh,5222,2919.098,0.7132905340800437,0.3987294085507444,7321
EliGE,6801,3706.545,0.73996300728974,0.4032798389729083,9191
demente,3703,1966.2930000000001,0.7255094043887147,0.38524549373040756,5104
JBa,7700,4211.9,0.7086324314375115,0.3876219399963188,10866
INS,5053,2481.023,0.7024885305157792,0.34492186848324763,7193
reiko,10921,5209.317,0.763439356868228,0.3641605732261447,14305
aliStair,5234,1685.3480000000002,0.7032110708047831,0.22643396479914016,7443
MartinezSa,8926,3249.064,0.7362256680963378,0.267986143187067,12124
Sonic,7468,4092.4639999999995,0.7209886078393513,0.3951017570959644,10358
Hanka,3141,1491.975,0.7232327883951186,0.3435355744876813,4343
ryu,10043,5533.693,0.7102043702708436,0.39132260801923485,14141
Kvem,8634,4990.451999999999,0.747920997920998,0.43229833679833674,11544
oSee,6609,2366.022,0.7162674758859868,0.2564237563671833,9227
nin9,5949,2320.11,0.7211783246454115,0.28125954661171054,8249
w0nderful,7519,2819.625,0.7220088342615709,0.2707533128480891,10414
gbb,10618,5436.416,0.7159328433686197,0.36655761580473334,14831
nicoodoz,11310,5406.18,0.7703310175725377,0.3682182263996731,14682
cool4st,4653,1889.1180000000002,0.7260102980184117,0.29476018099547513,6409
Krimbo,7113,3691.647,0.6809304997128087,0.35340292935094775,10446
St0m4k,3826,1955.086,0.703179562580408,0.35932475647858847,5441
OneUn1que,7012,3576.12,0.7217704580545549,0.3681029336078229,9715
lattykk,7663,2804.658,0.7138332557056357,0.26126297158826267,10735
CLASIA,4551,2389.275,0.6794565541952822,0.3567146909525232,6698
Spinx,6945,3910.035,0.7228351373855121,0.40695618234804326,9608
sliimey,4891,2567.775,0.7150584795321637,0.375405701754386,6840
decenty,9543,4971.903,0.7414342319944061,0.38628723486908556,12871
Fruitcupx,6165,3156.48,0.7282929710572947,0.3728860011813349,8465
Liazz,4905,2359.305,0.6652651566526515,0.31999254034992536,7373
adamb,9730,5516.91,0.7064033686656018,0.40053071003339624,13774
consti,5599,2077.229,0.7310353832092963,0.2712141271706489,7659
z1k4,5864,1923.3919999999998,0.7479591836734694,0.24533061224489794,7840
JDC,8920,4584.88,0.7225597407857433,0.371395706763872,12345
shg,3414,2041.572,0.7161736941472624,0.42827186910006293,4767
Grizz,7502,4201.12,0.7344101811062164,0.41126970141948116,10215
k0s,3262,1614.69,0.729917207428955,0.36130901767733276,4469
Vexite,5120,2887.68,0.7118031419435562,0.4014569720561657,7193
tAk,3842,1974.7879999999998,0.7250424608416682,0.3726718248726174,5299
Porya,3196,1671.5079999999998,0.7240598096964205,0.37868328047122785,4414
xeedo,6266,3252.0539999999996,0.7253154300266235,0.3764387081838175,8639
